City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
334,Port-Gentil,GA,-0.7193,8.7815,80.1,86,100,9.46,moderate rain
335,Kabare,CD,-2.4683,28.8242,59.63,95,93,1.1,overcast clouds
336,Gamba,GA,-2.65,10.0,76.73,94,90,5.32,overcast clouds
337,Bilma,NE,18.6853,12.9164,77.7,25,0,12.68,clear sky
338,Lokosovo,RU,61.1333,74.8167,60.57,67,87,9.64,light rain
339,Brigantine,US,39.4101,-74.3646,62.04,100,100,0.0,fog
340,Tornio,FI,65.8481,24.1466,42.82,97,100,5.99,light rain
341,Baghdad,IQ,33.3406,44.4009,79.12,20,11,15.68,few clouds
342,Lata,PT,40.1629,-8.3327,60.67,87,87,5.01,overcast clouds
343,Dumas,US,35.8656,-101.9732,77.14,12,0,5.75,clear sky
